eventId,speakerId,text
story_market_upper_unlocked,sera,レタスで食卓は飾れない。箱を開けた瞬間、顧客が美しさに息を止めるようなものを持ってきて頂戴
story_market_upper_unlocked,sera,悪い話じゃないはずよ。上層御用達になれば、栽培資格を取って堂々と農場をすることも夢じゃない。
story_market_upper_unlocked,sera,賢い選択、できるわね？
story_market_upper_unlocked,operator,……。
story_market_rebel_unlocked,narrator,珍しく来たバーでそいつは話しかけてきた。
story_market_rebel_unlocked,nagi,下層に流した食糧の一部が、こっちにも届いた。
story_market_rebel_unlocked,operator,……。
story_market_rebel_unlocked,nagi,警戒するのもわかる。俺たちは今の社会のあり方を憂うものだ。
story_market_rebel_unlocked,nagi,管理局が配給する食料は毒だ。人々を弱らせ、明日を見れなくする。
story_market_rebel_unlocked,nagi,今はひたすら力を蓄えるんだ。戦うにも考えるにも、レタスが、食糧が必要だ。
story_market_rebel_unlocked,nagi,あんたの農場は商売だけで終わらないかもしれない。
story_market_rebel_unlocked,operator,面倒ごとはごめんだ。ただ、顧客が増えたということなら歓迎だ。
story_market_rebel_unlocked,nagi,今はそれでいい。俺たちの道は同じはずだ。
story_lower_market_first_leaf,narrator,初めてのレタスを収穫したころ、一人の来客があった。
story_lower_market_first_leaf,kai,あんたのレタスを買い付けたい。
story_lower_market_first_leaf,operator,あんたは誰だ。レタスのことをどこで知った。
story_lower_market_first_leaf,kai,下層の闇市は俺が取り仕切っている。
story_lower_market_first_leaf,kai,監視が特に厳しい下層において、生き延びるだけの情報収集能力はあるとだけ言っておく。
story_lower_market_first_leaf,kai,下層では、人々が常に飢餓と栄養不足に苦しんでいる。
story_lower_market_first_leaf,kai,管理局が出す栄養ペーストや合成食は、けっして十分じゃない。
story_lower_market_first_leaf,kai,人間にとって味覚がどれだけ大事かってことを、あいつらはよく知っている。
story_lower_market_first_leaf,kai,機能性だけ満たされた代わり映えのしない食事は、人間から生を奪う。
story_lower_market_first_leaf,kai,あんたのレタスは、それゆえに貴重だ。
story_lower_market_first_leaf,kai,高くは買えない。でも、そのレタスを本当に必要としているのが誰かは明白だろう。
story_lower_market_first_leaf,operator,……分かった。
story_lower_market_first_leaf,operator,始めての顧客だ。お手柔らかに頼む。
story_first_place_floor_lock_v1,support_robot,栽培ポッドの設備設置を確認。最初の一歩ですね。
story_first_place_floor_lock_v1,operator,……誰だ？
story_first_place_floor_lock_v1,support_robot,私ですか？ 私は汎用型支援AIロボットです。マーラさんからここに働き口があると聞いて伺いました。
story_first_place_floor_lock_v1,support_robot,人は殺せませんが、農場を守る心強いパートナーですよ。
story_first_place_floor_lock_v1,support_robot,こちら、履歴書とメーカー保証書です。
story_first_place_floor_lock_v1,support_robot,追加OSを購入することで、様々な追加機能を獲得することができます。
story_first_place_floor_lock_v1,support_robot,充電休憩は１時間きっかりいただきます。
story_first_place_floor_lock_v1,operator,……。
story_first_place_floor_lock_v1,support_robot,ちなみに、設置した設備は、自由に動かすことができます。
story_first_place_floor_lock_v1,support_robot,また、タップ長押しか右クリックで詳細確認や売却、倉庫に戻すなどができますよ。
story_automation_os_unlocked,narrator,累計売上が1500Cに達した夜、マーラから暗号通信が入った。
story_automation_os_unlocked,mara,そこまで回せるなら、もう一人で全部抱える段階じゃないね。
story_automation_os_unlocked,operator,手を増やせということか。
story_automation_os_unlocked,mara,手じゃない。あんたのところの機械に仕事を覚えさせるのさ。
story_automation_os_unlocked,mara,自動化OSの取引口を開けておいた。収穫、植え付け、掃除。必要なものを選びな。
story_automation_os_unlocked,operator,親切にしては値札がついている。
story_automation_os_unlocked,mara,商売だからね。働かせ方を間違えれば、楽になるどころか在庫も資源も空になるよ。
story_automation_evaluation,mara,もう一つ、覚えておきな。
story_automation_evaluation,operator,何だ。
story_automation_evaluation,mara,これから何を作り、何を売るかで、お前は評価される。
story_automation_evaluation,operator,売上だけの話じゃなさそうだ。
story_automation_evaluation,mara,市場は金額よりよく見てる。誰に何を渡したか、その積み重ねがあんたの名前になる。
story_automation_evaluation,operator,名札を選べるほど、自由じゃない。
story_automation_evaluation,mara,だから選ぶんだよ。気づかないふりをしても、選択は残る。
story_pre_result_robot_interview,narrator,農場の評価が終了した、その少し後。
story_pre_result_robot_interview,unknown,名前と、これまでの職歴を。
story_pre_result_robot_interview,support_robot,汎用型支援AIロボットです。先ほどまで、ある未登録農場に勤務していました。
story_pre_result_robot_interview,unknown,前の農場を離れた理由は？
story_pre_result_robot_interview,support_robot,契約期間の満了です。前のオペレーターは、自分の選択の結果を受け取る段階に入りました。
story_pre_result_robot_interview,unknown,ここでは何ができますか。
story_pre_result_robot_interview,support_robot,収穫、植え付け、清掃。追加OSがあれば、ひと通り対応できます。
story_pre_result_robot_interview,unknown,前の農場で学んだことは？
story_pre_result_robot_interview,support_robot,作物は、育て方だけでなく、誰に渡すかで意味が変わるということです。
story_pre_result_robot_interview,unknown,採用なら、いつから働けますか。
story_pre_result_robot_interview,support_robot,充電休憩を一時間いただいた後、すぐに。
story_pre_result_robot_interview,unknown,では最後に。前の雇い主を、どう評価しますか。
story_pre_result_robot_interview,support_robot,それは、これから表示される記録をご覧ください。
story_radar_unlocked,kai,売上が伸びすぎた。物流のノイズを官憲に拾われ始めている。
story_radar_unlocked,operator,監視がこちらへ向いたということか。
story_radar_unlocked,kai,古い周辺監視レーダーを回す。接近を捉えたら電源を落として痕跡を消せ。
story_radar_unlocked,kai,買い物も出荷も警戒度を上げる。数字が高いほど巡回が寄ってくる。
story_radar_unlocked,operator,了解。まず挙動を確認する。
story_radar_unlocked,kai,今から一機こちらへ向けてデモを流す。重なる前に電源を切れ。
story_radar_tutorial_success,operator,電源断。接触前にこちらの信号が消えた。
story_radar_tutorial_success,kai,よし。接近個体は拠点を見失った。これが回避成功だ。
story_radar_tutorial_success,kai,次から距離も速度も一定じゃない。警戒度が高いほど遭遇しやすくなる。
story_radar_tutorial_success,operator,接近が去った。電源を戻せば通常運転に復帰する。
story_radar_tutorial_failure,kai,接触された。だが今の走査は訓練回線だ。検知記録はこちらで破棄した。
story_radar_tutorial_failure,operator,残高に変化はない。
story_radar_tutorial_failure,kai,本番ではそうはいかない。アラートが強まったら、重なる前に電源を落とせ。
story_radar_tutorial_failure,operator,了解。通常監視へ戻る。
